device,block_start,total_tokens,sonnet_tokens,input_tokens,output_tokens,cache_creation_tokens,cache_read_tokens,session_usage_pct,session_limit,models
mac-work,2025-10-27T00:00:00,19978225,19975125,9993,24038,1814736,18129458,22.7,88000000,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-10-27T05:00:00,26432553,26431775,34850,18658,3592668,22786377,30.04,88000000,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-10-28T00:00:00,20424173,20412481,21717,35352,2212436,18154668,23.21,88000000,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-10-28T05:00:00,38682663,38676325,18867,46564,2650681,35966551,43.96,88000000,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-10-29T00:00:00,4737303,4733838,4546,5107,763150,3964500,5.38,88000000,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-10-29T05:00:00,21222297,21220413,9272,23830,2402443,18786752,24.12,88000000,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-10-30T00:00:00,16281448,16272197,12010,27523,1336612,14905303,18.5,88000000,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-10-30T05:00:00,27120341,27110059,50449,40206,1913776,25115910,30.82,88000000,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-10-31T00:00:00,3585,1774,1627,326,1632,0,0.0,88000000,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-10-31T05:00:00,1447211,1445502,2242,2276,196346,1246347,1.64,88000000,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-03T00:00:00,5218,1719,3153,488,1577,0,0.01,88000000,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-03T05:00:00,3980014,3965421,31644,10607,652156,3285607,4.52,88000000,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-04T00:00:00,8996581,8989113,8370,12877,991481,7983853,10.22,88000000,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-05T05:00:00,6159921,6138144,21818,15828,832892,5289383,7.0,88000000,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-06T00:00:00,8302,4144,3808,676,3818,0,0.01,88000000,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-06T05:00:00,16794073,15746140,47160,59862,2057358,14629693,19.08,88000000,"<synthetic>,claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929"
mac-work,2025-11-06T10:00:00,3878867,3878867,1405,6786,722824,3147852,4.41,88000000,claude-sonnet-4-5-20250929
