device,block_start,total_tokens,session_usage_pct
mac-work,2025-10-27T00:00:00,19978225,9.29
mac-work,2025-10-27T05:00:00,26432553,12.29
mac-work,2025-10-28T00:00:00,20424173,9.5
mac-work,2025-10-28T05:00:00,38682663,17.99
mac-work,2025-10-29T00:00:00,4737303,2.2
mac-work,2025-10-29T05:00:00,21222297,9.87
mac-work,2025-10-30T00:00:00,16281448,7.57
mac-work,2025-10-30T05:00:00,27120341,12.61
mac-work,2025-10-31T00:00:00,3585,0.0
mac-work,2025-10-31T05:00:00,1447211,0.67
mac-work,2025-11-03T00:00:00,5218,0.0
mac-work,2025-11-03T05:00:00,3980014,1.85
mac-work,2025-11-04T00:00:00,8996581,4.18
mac-work,2025-11-05T05:00:00,6159921,2.87
mac-work,2025-11-06T00:00:00,8302,0.0
mac-work,2025-11-06T05:00:00,16794073,7.81
mac-work,2025-11-06T10:00:00,3878867,1.8
mac-work,2025-11-07T00:00:00,7233890,3.36
mac-work,2025-11-07T05:00:00,26808777,12.47
mac-work,2025-11-10T00:00:00,22881589,10.64
mac-work,2025-11-10T05:00:00,21934684,10.2
mac-work,2025-11-11T00:00:00,22050097,10.26
mac-work,2025-11-11T05:00:00,30564943,14.22
mac-work,2025-11-12T00:00:00,0,0.0
mac-work,2025-11-12T05:00:00,32045461,14.9
mac-work,2025-11-12T10:00:00,3475819,1.62
mac-work,2025-11-13T00:00:00,35450053,16.49
mac-work,2025-11-13T05:00:00,47756469,22.21
mac-work,2025-11-14T00:00:00,39907953,18.56
mac-work,2025-11-14T05:00:00,12308782,5.73
mac-work,2025-11-17T00:00:00,13277292,6.18
mac-work,2025-11-17T05:00:00,42955401,19.98
mac-work,2025-11-18T00:00:00,44368258,20.64
mac-work,2025-11-18T05:00:00,36244817,16.86
mac-work,2025-11-19T00:00:00,1516495,0.71
mac-work,2025-11-19T05:00:00,31759025,14.77
mac-work,2025-11-20T00:00:00,93946393,43.7
mac-work,2025-11-20T05:00:00,67546490,31.42
mac-work,2025-11-20T10:00:00,63237806,29.41
mac-work,2025-11-21T00:00:00,125054336,58.16
mac-work,2025-11-21T05:00:00,185804017,86.42
mac-work,2025-11-21T10:00:00,71356729,33.19
mac-work,2025-11-21T15:00:00,30972753,14.41
mac-work,2025-11-21T20:00:00,14527919,6.76
mac-work,2025-11-22T00:00:00,99325628,46.2
mac-work,2025-11-22T05:00:00,2704703,1.26
mac-work,2025-11-22T10:00:00,183439289,85.32
mac-work,2025-11-22T15:00:00,187656706,87.28
mac-work,2025-11-22T20:00:00,133848463,62.26
mac-work,2025-11-23T00:00:00,38496705,17.91
mac-work,2025-11-23T10:00:00,123028448,57.22
mac-work,2025-11-23T15:00:00,6784188,3.16
mac-work,2025-11-24T00:00:00,145012087,67.45
mac-work,2025-11-24T05:00:00,55507098,25.82
mac-work,2025-11-25T00:00:00,61335626,28.53
mac-work,2025-11-25T05:00:00,74312252,34.56
